Date,Close
10/8/2018 16:00:00,66.44
10/9/2018 16:00:00,66.39
10/10/2018 16:00:00,61.42
10/11/2018 16:00:00,58.78
10/12/2018 16:00:00,61.64
10/15/2018 16:00:00,58.85
10/16/2018 16:00:00,61.46
10/17/2018 16:00:00,60.77
10/18/2018 16:00:00,59.88
10/19/2018 16:00:00,57.29
10/22/2018 16:00:00,57.81
10/23/2018 16:00:00,55.27
10/24/2018 16:00:00,49.85
10/25/2018 16:00:00,51.96
10/26/2018 16:00:00,49.57
10/29/2018 16:00:00,46.41
10/30/2018 16:00:00,50.75
10/31/2018 16:00:00,52.71
11/1/2018 16:00:00,54.53
11/2/2018 16:00:00,53.73
11/5/2018 16:00:00,52.94
11/6/2018 16:00:00,52.77
11/7/2018 16:00:00,53.45
11/8/2018 16:00:00,51.5
11/9/2018 16:00:00,51.42
11/12/2018 16:00:00,47.39
11/13/2018 16:00:00,49.83
11/14/2018 16:00:00,49.3
11/15/2018 16:00:00,50.6
11/16/2018 16:00:00,41.11
11/19/2018 16:00:00,36.17
11/20/2018 16:00:00,37.27
11/21/2018 16:00:00,36.18
11/23/2018 13:00:00,36.25
11/26/2018 16:00:00,38.26
11/27/2018 16:00:00,38.43
11/28/2018 16:00:00,40.02
11/29/2018 16:00:00,39.34
11/30/2018 16:00:00,40.86
12/3/2018 16:00:00,42.51
12/4/2018 16:00:00,39.28
12/6/2018 16:00:00,39.57
12/7/2018 16:00:00,36.9
12/10/2018 16:00:00,37.97
12/11/2018 16:00:00,37.05
12/12/2018 16:00:00,37.23
12/13/2018 16:00:00,37.22
12/14/2018 16:00:00,36.61
12/17/2018 16:00:00,35.9
12/18/2018 16:00:00,36.74
12/19/2018 16:00:00,34.63
12/20/2018 16:00:00,33.78
12/21/2018 16:00:00,32.39
12/24/2018 13:00:00,31.77
12/26/2018 16:00:00,33.28
12/27/2018 16:00:00,32.79
12/28/2018 16:00:00,33.41
12/31/2018 16:00:00,33.38
1/2/2019 16:00:00,34.06
1/3/2019 16:00:00,32
1/4/2019 16:00:00,34.05
1/7/2019 16:00:00,35.85
1/8/2019 16:00:00,34.96
1/9/2019 16:00:00,35.65
1/10/2019 16:00:00,36.31
1/11/2019 16:00:00,37.21
1/14/2019 16:00:00,37.61
1/15/2019 16:00:00,37.47
1/16/2019 16:00:00,37.21
1/17/2019 16:00:00,37.93
1/18/2019 16:00:00,39.23
1/22/2019 16:00:00,37.19
1/23/2019 16:00:00,37.32
1/24/2019 16:00:00,39.46
1/25/2019 16:00:00,40.04
1/28/2019 16:00:00,34.5
1/29/2019 16:00:00,32.9
1/30/2019 16:00:00,34.35
1/31/2019 16:00:00,35.94
2/1/2019 16:00:00,36.18
2/4/2019 16:00:00,37.3
2/5/2019 16:00:00,37.49
2/6/2019 16:00:00,38.25
2/7/2019 16:00:00,36.85
2/8/2019 16:00:00,37.04
2/11/2019 16:00:00,36.61
2/12/2019 16:00:00,37.79
2/13/2019 16:00:00,38.22
2/14/2019 16:00:00,38.63
2/15/2019 16:00:00,39.34
2/19/2019 16:00:00,39.16
2/20/2019 16:00:00,39.64
2/21/2019 16:00:00,38.94
2/22/2019 16:00:00,39.8
2/25/2019 16:00:00,39.67
2/26/2019 16:00:00,39.28
2/27/2019 16:00:00,38.85
2/28/2019 16:00:00,38.57
3/1/2019 16:00:00,39.11
3/4/2019 16:00:00,39.2
3/5/2019 16:00:00,39.13
3/6/2019 16:00:00,38.01
3/7/2019 16:00:00,37.32
3/8/2019 16:00:00,37.66
3/11/2019 16:00:00,40.28
3/12/2019 16:00:00,40.63
3/13/2019 16:00:00,42.16
3/14/2019 16:00:00,41.39
3/15/2019 16:00:00,42.45
3/18/2019 16:00:00,42.24
3/19/2019 16:00:00,43.93
3/20/2019 16:00:00,43.6
3/21/2019 16:00:00,45.99
3/22/2019 16:00:00,44.38
3/25/2019 16:00:00,43.45
3/26/2019 16:00:00,44.22
3/27/2019 16:00:00,44.13
3/28/2019 16:00:00,44.31
3/29/2019 16:00:00,44.89
4/1/2019 16:00:00,45.57
4/2/2019 16:00:00,45.75
4/3/2019 16:00:00,47.16
4/4/2019 16:00:00,47.07
4/5/2019 16:00:00,47.74
4/8/2019 16:00:00,47.95
4/9/2019 16:00:00,47.32
4/10/2019 16:00:00,48.03
4/11/2019 16:00:00,47.89
4/12/2019 16:00:00,47.5
4/15/2019 16:00:00,46.18
4/16/2019 16:00:00,47.05
4/17/2019 16:00:00,46.82
4/18/2019 16:00:00,46.58
4/22/2019 16:00:00,47.12
4/23/2019 16:00:00,47.67
4/24/2019 16:00:00,47.79
4/25/2019 16:00:00,46.73
4/26/2019 16:00:00,44.52
4/29/2019 16:00:00,44.83
4/30/2019 16:00:00,45.25
5/1/2019 16:00:00,45.12
5/2/2019 16:00:00,45.8
5/3/2019 16:00:00,45.75
5/6/2019 16:00:00,44.96
5/7/2019 16:00:00,43.28
5/8/2019 16:00:00,43.48
5/9/2019 16:00:00,42.55
5/10/2019 16:00:00,42.21
5/13/2019 16:00:00,39.61
5/14/2019 16:00:00,40.51
5/15/2019 16:00:00,39.9
5/16/2019 16:00:00,40.05
5/17/2019 16:00:00,39.13
5/20/2019 16:00:00,37.94
5/21/2019 16:00:00,38.77
5/22/2019 16:00:00,38.05
5/23/2019 16:00:00,36.83
5/24/2019 16:00:00,36.29
5/28/2019 16:00:00,35.83
5/29/2019 16:00:00,35.09
5/30/2019 16:00:00,34.78
5/31/2019 16:00:00,33.87
6/3/2019 16:00:00,33.45
6/4/2019 16:00:00,35.75
6/5/2019 16:00:00,35.32
6/6/2019 16:00:00,35.95
6/7/2019 16:00:00,36.38
6/10/2019 16:00:00,37.11
6/11/2019 16:00:00,37.69
6/12/2019 16:00:00,36.55
6/13/2019 16:00:00,37.07
6/14/2019 16:00:00,36.16
6/17/2019 16:00:00,36.26
6/18/2019 16:00:00,38.22
6/19/2019 16:00:00,38.28
6/20/2019 16:00:00,38.53
6/21/2019 16:00:00,37.94
6/24/2019 16:00:00,38.17
6/25/2019 16:00:00,37.87
6/26/2019 16:00:00,39.82
6/27/2019 16:00:00,40.81
6/28/2019 16:00:00,41.06
7/1/2019 16:00:00,41.54
7/2/2019 16:00:00,40.56
7/3/2019 13:00:00,40.69
7/5/2019 16:00:00,40.06
7/8/2019 16:00:00,39.3
7/9/2019 16:00:00,39.33
7/10/2019 16:00:00,40.02
7/11/2019 16:00:00,41.57
7/12/2019 16:00:00,41.9
7/15/2019 16:00:00,41.82
7/16/2019 16:00:00,41.77
7/17/2019 16:00:00,42.43
7/18/2019 16:00:00,42.55
7/19/2019 16:00:00,42.11
7/22/2019 16:00:00,42.83
7/23/2019 16:00:00,43.92
7/24/2019 16:00:00,44.67
7/25/2019 16:00:00,43.35
7/26/2019 16:00:00,43.77
7/29/2019 16:00:00,43.71
7/30/2019 16:00:00,43.86
7/31/2019 16:00:00,42.18
8/1/2019 16:00:00,41.23
8/2/2019 16:00:00,40.3
8/5/2019 16:00:00,37.7
8/6/2019 16:00:00,38.09
8/7/2019 16:00:00,38.47
8/8/2019 16:00:00,39.57
8/9/2019 16:00:00,38.55
8/12/2019 16:00:00,37.86
8/13/2019 16:00:00,39.01
8/14/2019 16:00:00,37.52
8/15/2019 16:00:00,37.19
8/16/2019 16:00:00,39.89
8/19/2019 16:00:00,42.7
8/20/2019 16:00:00,41.97
8/21/2019 16:00:00,42.81
8/22/2019 16:00:00,42.87
8/23/2019 16:00:00,40.61
8/26/2019 16:00:00,41.36
8/27/2019 16:00:00,40.45
8/28/2019 16:00:00,40.31
